id_file,date,venue,team1,team2,toss_winner,toss_decision,match_winner
524915,16/12/2011,Sydney Cricket Ground,Sydney Sixers,Brisbane Heat,Brisbane Heat,bat,Sydney Sixers
524916,17/12/2011,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
524917,18/12/2011,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Adelaide Strikers
524918,18/12/2011,Western Australia Cricket Association Ground,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes
524919,20/12/2011,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars
524920,21/12/2011,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Hobart Hurricanes
524921,22/12/2011,Docklands Stadium,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,bat,Perth Scorchers
524922,23/12/2011,Stadium Australia,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Thunder
524923,27/12/2011,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Sydney Sixers
524924,28/12/2011,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes
524925,29/12/2011,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Perth Scorchers
524926,30/12/2011,Stadium Australia,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades
524927,1/01/2012,Bellerive Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,bat,Hobart Hurricanes
524928,2/01/2012,Docklands Stadium,Melbourne Renegades,Sydney Sixers,Sydney Sixers,bat,Melbourne Renegades
524930,4/01/2012,Melbourne Cricket Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers
524933,8/01/2012,Stadium Australia,Sydney Thunder,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers
524934,8/01/2012,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Perth Scorchers
