Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Toss
1,1,5/12/2021 19:35,SCG,Sydney Sixers,Melbourne Stars,Sydney Sixers,MS -  Field
2,1,6/12/2021 19:15,Manuka Oval,Sydney Thunder,Brisbane Heat,Sydney Thunder,ST - Field
3,1,7/12/2021 19:15,Marvel Stadium,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,MR - Bat
4,1,8/12/2021 18:35,University of Tasmania Stadium,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,HUR - Field
5,1,8/12/2021 21:35,Optus Stadium,Perth Scorchers,Brisbane Heat,Perth Scorchers,
6,1,9/12/2021 19:15,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,
7,2,10/12/2021 19:15,MCG,Melbourne Stars,Sydney Thunder,Melbourne Stars,
8,2,11/12/2021 18:35,SCG,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,
9,2,11/12/2021 21:30,Sydney Showground Stadium,Perth Scorchers,Adelaide Strikers,Perth Scorchers,
10,2,12/12/2021 19:15,Sydney Showground Stadium,Sydney Thunder,Melbourne Stars,Melbourne Stars,
11,2,13/12/2021 19:15,Metricon Stadium,Brisbane Heat,Melbourne Renegades,Brisbane Heat,
12,2,14/12/2021 19:15,Blundstone Arena,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,
13,2,15/12/2021 19:15,MCG,Melbourne Stars,Sydney Sixers,Sydney Sixers,
14,3,19/12/2021 19:40,The Gabba,Brisbane Heat,Sydney Thunder,Sydney Thunder,
15,3,20/12/2021 19:15,Blundstone Arena,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,
16,3,21/12/2021 19:15,SCG,Sydney Sixers,Adelaide Strikers,Sydney Sixers,
17,3,22/12/2021 19:15,Marvel Stadium,Melbourne Renegades,Perth Scorchers,Perth Scorchers,
18,3,23/12/2021 19:15,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,
19,4,24/12/2021 15:30,Blundstone Arena,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,
20,4,26/12/2021 18:05,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,Sydney Sixers,
21,4,26/12/2021 21:15,Marvel Stadium,Perth Scorchers,Melbourne Renegades,Perth Scorchers,
22,4,27/12/2021 18:05,Blundstone Arena,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,
23,4,27/12/2021 21:05,The Gabba,Brisbane Heat,Melbourne Stars,Melbourne Stars,
24,4,28/12/2021 19:15,Manuka Oval,Sydney Thunder,Perth Scorchers,Sydney Thunder,
25,4,29/12/2021 18:05,SCG,Sydney Sixers,Brisbane Heat,Sydney Sixers,
26,4,29/12/2021 19:15,Marvel Stadium,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,
28,5,31/12/2021 19:15,Adelaide Oval,Adelaide Strikers,Sydney Thunder,Sydney Thunder,
29,5,1/01/2022 16:00,Blundstone Arena,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,
30,5,1/01/2022 19:30,Coffs International Stadium,Sydney Sixers,Melbourne Renegades,,
31,5,2/01/2022 15:30,CitiPower Centre,Melbourne Stars,Perth Scorchers,Perth Scorchers,
32,5,2/01/2022 19:15,Sydney Showground Stadium,Sydney Thunder,Adelaide Strikers,Sydney Thunder,
33,5,3/01/2022 19:15,MCG,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,
38,5,4/01/2022 21:15,Metricon Stadium,Perth Scorchers,Sydney Sixers,Perth Scorchers,
35,5,5/01/2022 18:05,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,
37,5,6/01/2022 18:05,GMHBA Stadium,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,
36,5,6/01/2022 21:15,Metricon Stadium,Perth Scorchers,Sydney Thunder,Sydney Thunder,
40,6,8/01/2022 18:05,Marvel Stadium,Melbourne Renegades,Sydney Thunder,Sydney Thunder,
41,6,8/01/2022 20:30,The Gabba,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,
42,6,9/01/2022 19:15,Coffs International Stadium,Sydney Sixers,Perth Scorchers,Perth Scorchers,
44,6,10/01/2022 14:10,MCG,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,
43,6,10/01/2022 19:15,MCG,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,
62,6,11/01/2022 14:10,GMHBA Stadium,Perth Scorchers,Melbourne Stars,Perth Scorchers,
45,6,11/01/2022 19:15,GMHBA Stadium,Melbourne Renegades,Sydney Sixers,Sydney Sixers,
46,6,12/01/2022 19:15,The Gabba,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,
47,6,13/01/2022 15:45,Marvel Stadium,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,
48,6,13/01/2022 19:35,Marvel Stadium,Melbourne Renegades,Melbourne Stars,Melbourne Stars,
49,7,14/01/2022 22:40,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,
63,7,15/01/2022 10:10,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Melbourne Stars,
50,7,15/01/2022 18:40,SCG,Sydney Sixers,Sydney Thunder,Sydney Sixers,
51,7,16/01/2022 19:15,MCG,Melbourne Stars,Brisbane Heat,Melbourne Stars,
53,7,17/01/2022 17:05,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,
54,7,17/01/2022 21:15,Marvel Stadium,Brisbane Heat,Perth Scorchers,Perth Scorchers,
52,7,18/01/2022 19:15,Marvel Stadium,Hobart Hurricanes,Melbourne Renegades,,
64,7,19/01/2022 12:05,The Gabba,Brisbane Heat,Sydney Sixers,,
55,7,19/01/2022 16:10,MCG,Sydney Thunder,Melbourne Renegades,,
56,7,19/01/2022 19:50,MCG,Melbourne Stars,Hobart Hurricanes,,
57,Eliminator,21/01/2022 19:15,MCG,Adelaide Strikers,Hobart Hurricanes,,
58,Qualifier / Knockout,22/01/2022 19:15,Marvel Stadium,Perth Scorchers,Sydney Sixers,,
59,Qualifier / Knockout,23/01/2022 19:15,MCG,Sydney Thunder,Adelaide Strikers,,
60,Challenger,26/01/2022 19:25,SCG,Sydney Sixers,Adelaide Strikers,,
61,Final,28/01/2022 19:40,Marvel Stadium,Perth Scorchers,Sydney Sixers,,
